LAT LON DEPTH Vs
-3.064250000000000029e-01 -9.074417499999999848e+01 2.000000000000000000e+00 2.630673957907275984e+00
-4.377500000000000141e-02 -9.065662500000000534e+01 2.000000000000000000e+00 2.669091301932357219e+00
-4.377500000000000141e-02 -9.056907499999999800e+01 2.000000000000000000e+00 2.613599571477660088e+00
-1.313249999999999973e-01 -9.065662500000000534e+01 2.000000000000000000e+00 2.667114983059839073e+00
-1.313249999999999973e-01 -9.056907499999999800e+01 2.000000000000000000e+00 2.648021528582291229e+00
-4.377500000000000141e-02 -9.048152500000000487e+01 2.000000000000000000e+00 2.662462449403854681e+00
-4.377500000000000141e-02 -9.039397499999999752e+01 2.000000000000000000e+00 2.641605454069269499e+00
-1.313249999999999973e-01 -9.048152500000000487e+01 2.000000000000000000e+00 2.651380778908718483e+00
-1.313249999999999973e-01 -9.039397499999999752e+01 2.000000000000000000e+00 2.641644045225721715e+00
-2.188749999999999862e-01 -9.065662500000000534e+01 2.000000000000000000e+00 2.651669991151422323e+00
-2.188749999999999862e-01 -9.056907499999999800e+01 2.000000000000000000e+00 2.639774857745969872e+00
-3.064250000000000029e-01 -9.065662500000000534e+01 2.000000000000000000e+00 2.641500839986334892e+00
-3.064250000000000029e-01 -9.056907499999999800e+01 2.000000000000000000e+00 2.677544132576056501e+00
-2.188749999999999862e-01 -9.048152500000000487e+01 2.000000000000000000e+00 2.648468091583422446e+00
-2.188749999999999862e-01 -9.039397499999999752e+01 2.000000000000000000e+00 2.646209369499691988e+00
-3.064250000000000029e-01 -9.048152500000000487e+01 2.000000000000000000e+00 2.630030181123015343e+00
-3.064250000000000029e-01 -9.039397499999999752e+01 2.000000000000000000e+00 2.652555080318933722e+00
-4.377500000000000141e-02 -9.030642500000000439e+01 2.000000000000000000e+00 2.719905311996133612e+00
-4.377500000000000141e-02 -9.021887499999999704e+01 2.000000000000000000e+00 2.720555002276483503e+00
-1.313249999999999973e-01 -9.030642500000000439e+01 2.000000000000000000e+00 2.740388046184343729e+00
-1.313249999999999973e-01 -9.021887499999999704e+01 2.000000000000000000e+00 2.732390442608066294e+00
-4.377500000000000141e-02 -9.013132500000000391e+01 2.000000000000000000e+00 2.740395520874392421e+00
-4.377500000000000141e-02 -9.004377499999999657e+01 2.000000000000000000e+00 2.730013296186725835e+00
-1.313249999999999973e-01 -9.013132500000000391e+01 2.000000000000000000e+00 2.750820741409654602e+00
-1.313249999999999973e-01 -9.004377499999999657e+01 2.000000000000000000e+00 2.744482699724624108e+00
-2.188749999999999862e-01 -9.030642500000000439e+01 2.000000000000000000e+00 2.740263767884622670e+00
-2.188749999999999862e-01 -9.021887499999999704e+01 2.000000000000000000e+00 2.719931133577480509e+00
-3.064250000000000029e-01 -9.030642500000000439e+01 2.000000000000000000e+00 2.747970766815298393e+00
-3.064250000000000029e-01 -9.021887499999999704e+01 2.000000000000000000e+00 2.726541788664346821e+00
-2.188749999999999862e-01 -9.013132500000000391e+01 2.000000000000000000e+00 2.753732061012570398e+00
-2.188749999999999862e-01 -9.004377499999999657e+01 2.000000000000000000e+00 2.728611832851353558e+00
-3.064250000000000029e-01 -9.013132500000000391e+01 2.000000000000000000e+00 2.730768815825646456e+00
-3.064250000000000029e-01 -9.004377499999999657e+01 2.000000000000000000e+00 2.716597092265909730e+00
-4.377500000000000141e-02 -8.995622500000000343e+01 2.000000000000000000e+00 2.665326960698970460e+00
-4.377500000000000141e-02 -8.986867499999999609e+01 2.000000000000000000e+00 1.942897877024121200e+00
-1.313249999999999973e-01 -8.995622500000000343e+01 2.000000000000000000e+00 2.673843028952325618e+00
-1.313249999999999973e-01 -8.986867499999999609e+01 2.000000000000000000e+00 1.865491464208519856e+00
-4.377500000000000141e-02 -8.978112500000000296e+01 2.000000000000000000e+00 nan
-4.377500000000000141e-02 -8.969357499999999561e+01 2.000000000000000000e+00 nan
